epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.6182,0.59201,2.80505,0.98152,0.47583,0.56538,0.57791,0.51249,0.50156,2.92223,0.87853,0.00043342,0.00043342,0.00043342
2,79.084,0.60796,1.97282,0.92664,0.68788,0.34707,0.66274,0.5901,0.52476,2.66848,0.86572,0.000874763,0.000874763,0.000874763
3,121.411,0.68413,2.07114,0.94359,0.63913,0.7921,0.68566,0.57768,0.7113,2.07767,0.94716,0.00130719,0.00130719,0.00130719
4,164.368,0.72382,1.89573,0.99162,0.68555,0.69615,0.78148,0.63889,0.6482,2.46471,0.94313,0.00161749,0.00161749,0.00161749
5,208.063,0.70678,1.63621,0.95739,0.54506,0.47886,0.56023,0.38749,0.73823,3.63023,1.11646,0.00160099,0.00160099,0.00160099
6,250.97,0.70792,1.6265,0.9746,0.51059,0.80923,0.65144,0.42811,0.78267,3.47979,1.02067,0.00158448,0.00158448,0.00158448
7,289.303,0.71193,1.49968,0.96768,0.92971,0.87775,0.92571,0.74743,0.59475,2.36921,0.9185,0.00156798,0.00156798,0.00156798
8,330.982,0.66826,1.47752,0.95724,0.81353,0.73512,0.81356,0.63532,0.84015,2.06613,1.11502,0.00155148,0.00155148,0.00155148
9,372.727,0.67686,1.35096,0.96005,0.86182,0.87734,0.92306,0.73149,0.6954,1.71767,1.03098,0.00153497,0.00153497,0.00153497
10,414.781,0.65382,1.35878,0.97695,0.58392,0.92836,0.88562,0.74307,0.66183,2.74354,0.97959,0.00151847,0.00151847,0.00151847
11,456.75,0.61897,1.33231,0.94333,0.99719,0.85962,0.93141,0.78393,0.59193,1.3354,0.93696,0.00150197,0.00150197,0.00150197
12,498.054,0.59296,1.30177,0.95319,0.91287,0.975,0.95347,0.82075,0.58795,1.3142,0.90926,0.00148546,0.00148546,0.00148546
13,540.568,0.60516,1.18374,0.9439,0.79434,0.8079,0.82536,0.66541,0.63019,1.87951,0.93353,0.00146896,0.00146896,0.00146896
14,583.147,0.6674,1.20802,0.97425,0.39523,0.42115,0.45058,0.3767,0.6566,5.16323,1.03202,0.00145246,0.00145246,0.00145246
15,625.81,0.65977,1.21283,0.95228,0.51549,0.78654,0.73927,0.62636,0.64767,3.76931,0.95223,0.00143595,0.00143595,0.00143595
16,668.221,0.58763,1.1151,0.91726,0.86543,0.89252,0.88268,0.74089,0.59344,1.34056,0.91524,0.00141945,0.00141945,0.00141945
17,711.671,0.59567,1.06838,0.93489,0.99127,0.97396,0.97007,0.85709,0.49908,1.07486,0.88038,0.00140295,0.00140295,0.00140295
18,754.752,0.53869,1.06219,0.90588,0.94316,0.89351,0.95341,0.84143,0.53252,1.15892,0.90746,0.00138644,0.00138644,0.00138644
19,798.144,0.5879,1.07489,0.92574,0.95509,0.93079,0.9515,0.81357,0.5164,1.15082,0.90846,0.00136994,0.00136994,0.00136994
20,841.575,0.63636,1.03758,0.94648,0.91861,0.96745,0.94453,0.8378,0.50192,1.0841,0.89015,0.00135344,0.00135344,0.00135344
21,884.226,0.55781,0.93207,0.89988,0.9897,0.92747,0.96756,0.82872,0.49988,1.00033,0.90331,0.00133693,0.00133693,0.00133693
22,926.634,0.55097,0.90319,0.91589,0.86882,0.90314,0.95981,0.83334,0.48046,1.07722,0.88091,0.00132043,0.00132043,0.00132043
23,968.927,0.60555,1.01254,0.97077,0.99516,0.90995,0.96104,0.84796,0.5054,0.9259,0.87893,0.00130393,0.00130393,0.00130393
24,1011.63,0.53483,0.95434,0.92638,0.99634,0.91043,0.96414,0.88606,0.44704,0.90004,0.86091,0.00128742,0.00128742,0.00128742
25,1050.94,0.53356,0.84941,0.89494,0.97761,0.97009,0.97006,0.90307,0.42812,0.86631,0.8584,0.00127092,0.00127092,0.00127092
