epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.7417,0.70076,2.92297,1.00225,0.54805,0.16796,0.43444,0.34571,0.54351,2.94507,0.89007,0.000465256,0.000465256,0.000465256
2,112.714,0.6571,2.14023,0.98384,0.40649,0.69693,0.49825,0.41659,0.61431,2.5403,0.89448,0.000932267,0.000932267,0.000932267
3,170.808,0.71799,1.87391,0.98704,0.49886,0.67303,0.58989,0.50948,0.52454,2.50731,0.85479,0.00138985,0.00138985,0.00138985
4,234.522,0.69708,1.75418,1.00742,0.6214,0.79707,0.79814,0.67829,0.57825,2.10556,0.87261,0.00138656,0.00138656,0.00138656
5,297.329,0.68107,1.64081,0.95474,0.57737,0.90422,0.83543,0.69791,0.62426,1.96278,0.88631,0.00137241,0.00137241,0.00137241
6,360.043,0.68843,1.57376,0.97217,0.88993,0.8627,0.93062,0.79545,0.57114,1.52075,0.87801,0.00135826,0.00135826,0.00135826
7,421.207,0.65996,1.40909,0.96541,0.88749,0.85678,0.9333,0.79201,0.58464,1.62559,0.90189,0.00134412,0.00134412,0.00134412
8,483.968,0.6469,1.32222,0.96663,0.88908,0.90339,0.95175,0.82199,0.53125,1.62481,0.86753,0.00132997,0.00132997,0.00132997
9,548.185,0.65746,1.32237,0.95834,0.84423,0.89013,0.90927,0.77596,0.5283,1.37775,0.85555,0.00131582,0.00131582,0.00131582
10,608.087,0.65879,1.31122,0.95097,0.88821,0.84681,0.94111,0.82537,0.47423,1.2611,0.84291,0.00130168,0.00130168,0.00130168
11,667.315,0.66682,1.28212,0.96274,0.93022,0.90072,0.94688,0.81533,0.51668,1.39832,0.85776,0.00128753,0.00128753,0.00128753
12,727.938,0.63736,1.19347,0.95426,0.80453,0.90281,0.86082,0.70937,0.58555,1.53427,0.88958,0.00127338,0.00127338,0.00127338
13,787.396,0.63362,1.15366,0.9646,0.95744,0.92828,0.95438,0.82807,0.57399,1.06422,0.90318,0.00125923,0.00125923,0.00125923
14,846.708,0.6308,1.15441,0.94885,0.9489,0.93464,0.97444,0.84197,0.56655,1.04233,0.87198,0.00124509,0.00124509,0.00124509
15,905.723,0.58081,1.01939,0.92101,0.84213,0.90229,0.90113,0.79245,0.5257,1.09819,0.85953,0.00123094,0.00123094,0.00123094
16,964.835,0.63163,1.01793,0.96521,0.92506,0.75971,0.9183,0.791,0.56553,1.29535,0.8787,0.00121679,0.00121679,0.00121679
17,1026.53,0.62029,0.97301,0.93242,0.89016,0.95723,0.93924,0.79305,0.53739,1.15038,0.87335,0.00120265,0.00120265,0.00120265
18,1089.54,0.59386,1.02679,0.94267,0.91996,0.91437,0.93029,0.82858,0.52238,1.03358,0.85163,0.0011885,0.0011885,0.0011885
19,1149.99,0.6153,1.01942,0.9544,0.94653,0.97721,0.9768,0.85058,0.52782,0.87451,0.8592,0.00117435,0.00117435,0.00117435
20,1209.6,0.56334,0.91583,0.92167,0.93125,0.93858,0.96748,0.84042,0.52434,0.93003,0.85303,0.00116021,0.00116021,0.00116021
21,1268.68,0.56086,0.87067,0.90935,0.94274,0.93957,0.95378,0.8385,0.51853,0.97006,0.85568,0.00114606,0.00114606,0.00114606
22,1328.15,0.58262,0.91884,0.93484,0.96531,0.90752,0.96856,0.85692,0.46044,0.79653,0.82642,0.00113191,0.00113191,0.00113191
23,1387.74,0.57245,0.87005,0.91343,0.98765,0.92462,0.97854,0.86178,0.49136,0.8238,0.83992,0.00111776,0.00111776,0.00111776
24,1446.98,0.60912,0.92708,0.93303,0.94342,0.90252,0.95928,0.84287,0.46612,0.84262,0.82775,0.00110362,0.00110362,0.00110362
25,1506.09,0.55582,0.77566,0.92008,0.95182,0.96772,0.97935,0.85887,0.47258,0.83217,0.82444,0.00108947,0.00108947,0.00108947
26,1565.36,0.51954,0.78058,0.90322,0.9615,0.98551,0.9817,0.85494,0.4614,0.72202,0.83026,0.00107532,0.00107532,0.00107532
27,1624.7,0.54343,0.78776,0.92126,0.95683,0.98551,0.97966,0.88132,0.48246,0.65394,0.81988,0.00106118,0.00106118,0.00106118
28,1683.97,0.50533,0.7087,0.88596,0.96589,0.97642,0.98053,0.88308,0.44851,0.64084,0.81277,0.00104703,0.00104703,0.00104703
29,1743.45,0.52805,0.75883,0.92155,0.95203,0.96586,0.97412,0.8692,0.4609,0.67474,0.81928,0.00103288,0.00103288,0.00103288
30,1802.97,0.54451,0.73157,0.92177,0.97297,0.95719,0.97824,0.89684,0.4377,0.62994,0.81067,0.00101873,0.00101873,0.00101873
31,1862.24,0.51,0.69489,0.92411,0.94365,0.9616,0.96835,0.88126,0.42514,0.63706,0.80529,0.00100459,0.00100459,0.00100459
32,1921.95,0.52186,0.68182,0.91912,0.94575,0.92339,0.96502,0.85797,0.48987,0.67327,0.84597,0.00099044,0.00099044,0.00099044
33,1981.33,0.51679,0.69902,0.91443,0.96652,0.95648,0.97856,0.85925,0.46344,0.60518,0.85253,0.000976293,0.000976293,0.000976293
34,2041.23,0.50595,0.68881,0.88074,0.96233,0.97065,0.98053,0.85273,0.48554,0.60544,0.85275,0.000962146,0.000962146,0.000962146
35,2101.62,0.49087,0.70245,0.88881,0.95545,0.94667,0.96797,0.85766,0.55189,0.67027,0.88696,0.000947999,0.000947999,0.000947999
36,2161.32,0.54144,0.72285,0.91725,0.98797,0.98551,0.9817,0.86459,0.49415,0.55014,0.85691,0.000933851,0.000933851,0.000933851
37,2220.75,0.49648,0.64319,0.90758,0.97725,0.97312,0.96581,0.85375,0.48631,0.59201,0.85545,0.000919704,0.000919704,0.000919704
38,2280.44,0.48215,0.66753,0.90105,0.969,0.97101,0.95959,0.86569,0.46741,0.62777,0.83756,0.000905557,0.000905557,0.000905557
39,2340.84,0.488,0.64051,0.90232,0.97515,0.98551,0.97935,0.8888,0.42978,0.52695,0.83556,0.00089141,0.00089141,0.00089141
40,2402.39,0.5217,0.6695,0.90801,0.98885,0.98551,0.98171,0.887,0.42119,0.52249,0.82723,0.000877263,0.000877263,0.000877263
