epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.5526,0.74221,2.8894,1.03502,0.31844,0.21762,0.41745,0.29697,0.57617,3.00241,0.9078,0.000467173,0.000467173,0.000467173
2,121.993,0.72383,2.29833,1.0359,0.50247,0.54549,0.46829,0.35117,0.66458,2.46921,0.94817,0.000937279,0.000937279,0.000937279
3,183.951,0.73583,2.13443,1.02897,0.41016,0.556,0.47011,0.37437,0.65914,2.59543,0.95883,0.0014011,0.0014011,0.0014011
4,243.296,0.80863,2.02061,1.05918,0.49161,0.7009,0.67631,0.52415,0.78899,3.37809,1.02949,0.00140071,0.00140071,0.00140071
5,302.822,0.7464,1.74371,1.02716,0.60768,0.63869,0.7065,0.50993,0.79364,2.75468,1.02831,0.00139127,0.00139127,0.00139127
6,361.939,0.75143,1.67837,1.03683,0.70266,0.88968,0.82744,0.68318,0.79309,1.88629,1.03765,0.00138184,0.00138184,0.00138184
7,421.002,0.77202,1.55466,1.03667,0.80512,0.85441,0.91795,0.76701,0.64566,1.52538,0.93667,0.00137241,0.00137241,0.00137241
8,481.689,0.74255,1.53533,1.05493,0.97773,0.84162,0.96037,0.78075,0.6298,1.40795,0.93395,0.00136298,0.00136298,0.00136298
9,541.876,0.72309,1.40953,1.03701,0.67799,0.87144,0.88535,0.73978,0.59569,2.10313,0.92152,0.00135355,0.00135355,0.00135355
10,602.023,0.722,1.45261,1.03813,0.90828,0.91882,0.94325,0.78438,0.57754,1.36302,0.90477,0.00134412,0.00134412,0.00134412
11,662.086,0.70109,1.28538,0.98714,0.88869,0.92881,0.95962,0.79447,0.6209,1.33407,0.92073,0.00133469,0.00133469,0.00133469
12,721.203,0.66122,1.21329,0.9775,0.90662,0.93537,0.96688,0.82222,0.58343,1.24011,0.90684,0.00132525,0.00132525,0.00132525
13,780.181,0.64809,1.16075,0.9696,0.96834,0.88607,0.9692,0.79184,0.61193,1.21153,0.93158,0.00131582,0.00131582,0.00131582
