epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.3614,0.74221,2.8894,1.03502,0.31844,0.21762,0.41745,0.29697,0.57617,3.00241,0.9078,0.000467173,0.000467173,0.000467173
2,121.909,0.72168,2.29714,1.03449,0.46895,0.58051,0.4719,0.3489,0.65125,2.42917,0.94414,0.000932517,0.000932517,0.000932517
3,182.779,0.73313,2.11344,1.0222,0.56215,0.65649,0.61764,0.4696,0.63903,2.43614,0.95108,0.00138677,0.00138677,0.00138677
4,243.362,0.80493,2.02903,1.04072,0.50292,0.79942,0.70409,0.54419,0.69936,2.58094,1.01532,0.00137907,0.00137907,0.00137907
5,303.269,0.73346,1.74813,1.01447,0.51845,0.77271,0.77112,0.62828,0.63724,2.27982,0.93003,0.00136243,0.00136243,0.00136243
6,362.528,0.7641,1.7269,1.04489,0.41674,0.75721,0.50481,0.39488,0.78612,2.51131,1.02231,0.00134578,0.00134578,0.00134578
7,421.218,0.76709,1.59804,1.03827,0.73545,0.82701,0.8772,0.68782,0.78536,2.22374,1.03915,0.00132914,0.00132914,0.00132914
8,480.494,0.76164,1.52463,1.05732,0.88061,0.85092,0.90894,0.75023,0.64525,1.49964,0.9568,0.00131249,0.00131249,0.00131249
9,539.52,0.70634,1.36326,1.03044,0.80692,0.93087,0.92294,0.76054,0.60795,1.44283,0.93218,0.00129585,0.00129585,0.00129585
10,597.899,0.73109,1.44636,1.041,0.913,0.87784,0.95831,0.79732,0.53399,1.31267,0.88027,0.00127921,0.00127921,0.00127921
11,657.384,0.68835,1.24198,0.98543,0.94732,0.82919,0.94479,0.76808,0.61094,1.27616,0.92693,0.00126256,0.00126256,0.00126256
12,716.072,0.63564,1.22899,0.9631,0.93576,0.94275,0.96648,0.81218,0.60394,1.19541,0.90708,0.00124592,0.00124592,0.00124592
13,774.542,0.6493,1.15663,0.9612,0.82173,0.93116,0.94838,0.77069,0.68006,1.48885,0.93943,0.00122928,0.00122928,0.00122928
14,847.8,0.65431,1.04023,0.96105,0.93287,0.92471,0.93665,0.78871,0.69222,1.42557,0.93483,0.00121263,0.00121263,0.00121263
15,921.445,0.66026,1.02771,0.98413,0.91827,0.93658,0.96496,0.83298,0.62431,1.25199,0.90243,0.00119599,0.00119599,0.00119599
16,984.475,0.65597,1.05905,0.99602,0.93773,0.92935,0.96691,0.83689,0.63209,1.18701,0.89803,0.00117935,0.00117935,0.00117935
17,1045.21,0.65146,1.04142,0.99068,0.93684,0.91265,0.95545,0.83469,0.6762,1.19975,0.96676,0.0011627,0.0011627,0.0011627
18,1107.86,0.6024,0.96781,0.95594,0.93648,0.92414,0.9529,0.8064,0.7211,1.10714,0.9743,0.00114606,0.00114606,0.00114606
19,1168.89,0.63932,0.97867,0.9646,0.93342,0.9085,0.95999,0.79634,0.60774,1.21406,0.9347,0.00112941,0.00112941,0.00112941
20,1229.95,0.59273,0.89771,0.94953,0.90075,0.90998,0.93278,0.81553,0.5391,1.21081,0.86047,0.00111277,0.00111277,0.00111277
